nota,[3.62235562]
1.5,[-19.95592771]
4,[29.32299047]
4.8,[17.72542535]
5,[11.40247112]
1.5,[-2.59187918]
4.6,[35.06520024]
4.5,[16.06215951]
4.5,[7.15642338]
4.7,[18.64609411]
5,[21.31386395]
4,[3.93658698]
5,[30.29554797]
4,[32.21583806]
4.3,[12.16072618]
4,[20.92763361]
2.1,[10.41641968]
3.3,[19.84630321]
3.8,[12.40915221]
1.5,[0.73092134]
3.8,[31.28372673]
5,[21.86122546]
3.5,[32.84285292]
5,[28.03128639]
5,[19.95493021]
5,[36.83330709]
4.7,[8.2515685]
5,[15.07178599]
2,[-10.56338387]
5,[22.419915]
4.3,[28.07716095]
2,[6.27577842]
4.9,[17.57850417]
4,[2.12436338]
1.5,[-6.72506303]
4.5,[0.79021997]
5,[25.29345624]
2.4,[9.10475362]
3.5,[23.39558932]
2.9,[-0.54295454]
3.5,[-4.03931353]
5,[30.42494319]
3.5,[27.76578861]
1.7,[7.61205916]
4,[9.40312906]
5,[21.81663226]
2.5,[32.38038426]
4.2,[11.20227959]
3.2,[10.70669903]
4.2,[10.54950107]
4,[6.38919318]
4,[21.09877272]
2.5,[-2.12587901]
4.8,[16.63285471]
4,[27.45174773]
4.5,[34.93178527]
5,[33.98716896]
1.5,[-23.03942529]
3.5,[2.96926898]
4.2,[10.21936514]
1.5,[-1.38119043]
2,[5.55580426]
3.8,[15.56146501]
5,[22.09496143]
5,[30.97713536]
2.8,[-5.82113177]
3,[21.51005755]
4,[8.54543452]
5,[42.62122288]
3.5,[7.37407443]
4,[21.14742636]
2,[4.38860312]
4.4,[10.80930268]
3.3,[4.54105967]
4.6,[27.49246626]
2.5,[2.47075732]
3.5,[-0.28820035]
5,[6.55293135]
3.3,[11.26818573]
1.5,[-11.28454707]
2.8,[-0.29477337]
4,[22.95362719]
5,[33.96269565]
4.8,[40.9006131]
3.5,[42.38497238]
3.8,[11.47065753]
2.6,[-9.52472321]
4,[16.29443549]
1.9,[-0.09290657]
3.5,[23.26897563]
4,[17.99536873]
3.3,[8.20139573]
3.4,[10.42050293]
3,[4.23603046]
3,[6.36251554]
1.5,[-4.944874]
5,[27.71467457]
3.5,[30.26154225]
2.5,[-7.31970189]
5,[20.22970242]
1.5,[-13.42124338]
3.4,[-2.79719611]
4.5,[24.31319243]
4.3,[4.89019932]
4.9,[26.43469118]
3.6,[18.90183377]
2,[11.67816741]
4,[26.10552023]
5,[41.54106839]
4.9,[23.35519355]
2,[-3.18185507]
3.5,[28.84521446]
4.6,[21.92903245]
4,[17.82922977]
5,[26.81149294]
4.5,[25.46684366]
2,[-15.85793926]
4,[8.74213583]
4.4,[15.02721128]
2,[3.13993599]
2,[-19.4785612]
4.3,[22.50079825]
4.5,[7.58940529]
3,[-2.02115583]
1.5,[-5.49268073]
3.5,[19.16891362]
2,[-10.82073214]
1.5,[-3.7429073]
5,[27.7684168]
1.5,[-17.01499169]
4.5,[31.64315383]
4.6,[35.88692805]
3.5,[7.11598429]
3,[-1.05563874]
3,[0.41557824]
3.3,[24.94511262]
3.5,[11.08018417]
4,[13.49086171]
2.6,[-19.25764613]
5,[24.73668125]
3.2,[1.34407304]
4.5,[60.69609]
1.5,[13.13398541]
1.5,[-13.61591031]
1,[-15.72733947]
4.6,[33.4587348]
