web-scraper-order,web-scraper-start-url,profesoresurl,profesoresurl-href,review,nota
"1576030471-272","https://losestudiantes.co/","Oliverio Caldas BermudezArquitectura y Urbanismo","https://losestudiantes.co/universidad-nacional/arquitectura-y-urbanismo/profesores/oliverio-caldas-bermudez","Aprenderás a proyectar, sabrás que el proceso de materialización de tus ideas no te va a limitar soñar, al contrario, entenderás cómo la técnica potencia tu idea espacial. Aprenderás a vivir y a crear espacio.","5"
"1576030174-263","https://losestudiantes.co/","Maria Clara Del Pilar Vejarano AlvaradoArquitectura y Urbanismo","https://losestudiantes.co/universidad-nacional/arquitectura-y-urbanismo/profesores/maria-clara-del-pilar-vejarano-alvarado","Se nota que le gusta enseñar, conoce muy bien del tema, trata de resolver las dudas de cada estudiante y mientras le entregues todos los trabajos te va muy bien.","5"
"1576030436-269","https://losestudiantes.co/","Luis Enrique PedrizaArquitectura y Urbanismo","https://losestudiantes.co/universidad-nacional/arquitectura-y-urbanismo/profesores/luis-enrique-pedriza","Sabe del tema, es muy canson con la asistencia, los trabajos deben ser impecables, suelen ser trabajos que requieren tiempo y paciencia, en los trabajos impresos califica la calidad de le impresión así que mejor gastar un poco más. Motiva a los estudiantes si uno pregunta y le sigue el paso, en caso contrario es como un abuelo regañon, llevarlo en buenos términos. Algunas clases son tiempos muertos para completar las tareasPros: Se hacen muchos trabajos chéveresCons: Requiere tiempo y materiales","4"
"1576030386-266","https://losestudiantes.co/","Nelson Camilo Avellaneda ValcarcelArquitectura y Urbanismo","https://losestudiantes.co/universidad-nacional/arquitectura-y-urbanismo/profesores/nelson-camilo-avellaneda-valcarcel","Jamás le acepten un trabajo que el tipo no paga. Tiene un historial de años dejando metidos a estudiantes a los que embauca, paga los primeros meses y luego deja metidos.","1.5"
"1576030111-260","https://losestudiantes.co/","Saul Francisco Arias MeloArquitectura y Urbanismo","https://losestudiantes.co/universidad-nacional/arquitectura-y-urbanismo/profesores/saul-francisco-arias-melo","Muy buen profesor.Pros: Sabe mucho, es responsable y paciente.","5"
"1576030111-259","https://losestudiantes.co/","Saul Francisco Arias MeloArquitectura y Urbanismo","https://losestudiantes.co/universidad-nacional/arquitectura-y-urbanismo/profesores/saul-francisco-arias-melo","Muy buen profesor, buena metodología","5"
"1576030111-258","https://losestudiantes.co/","Saul Francisco Arias MeloArquitectura y Urbanismo","https://losestudiantes.co/universidad-nacional/arquitectura-y-urbanismo/profesores/saul-francisco-arias-melo","Pucha que es feo, no sabe nada y se cree el putas.Cons: Lee la carta astral en clase XD","1.5"
"1576030075-257","https://losestudiantes.co/","Carlos Eduardo Naranjo QuicenoArquitectura y Urbanismo","https://losestudiantes.co/universidad-nacional/arquitectura-y-urbanismo/profesores/carlos-eduardo-naranjo-quiceno","No se dejen engañar por su cascarón de ermitaño: es una amorosa fuente de conocimiento.","5"
"1576030450-271","https://losestudiantes.co/","Wilma Tatiana Urrea UyabanArquitectura y Urbanismo","https://losestudiantes.co/universidad-nacional/arquitectura-y-urbanismo/profesores/wilma-tatiana-urrea-uyaban","Si en realidad te interesa, con ella aprenderás de un modo distinto y bastante crítico, aprenderás a vivir la arquitectura y todos sus componentes","5"
"1576030450-270","https://losestudiantes.co/","Wilma Tatiana Urrea UyabanArquitectura y Urbanismo","https://losestudiantes.co/universidad-nacional/arquitectura-y-urbanismo/profesores/wilma-tatiana-urrea-uyaban","Es la mejor.","5"
"1576030280-265","https://losestudiantes.co/","Gabriel Felipe Rodriguez GuerreroArquitectura y Urbanismo","https://losestudiantes.co/universidad-nacional/arquitectura-y-urbanismo/profesores/gabriel-felipe-rodriguez-guerrero","Se considera un organizador del mundo. Sus amados énfasis y maestría son una especie de sanatorio mental donde le venden a la gente la idea de que van a ser famosos si siguen el proceder de los ""grandes maestros"". En realidad, ese conocimiento críptico y sus ideas enrevesadas son usados para engordar su propio ego, no para educar.","2"
"1576030400-268","https://losestudiantes.co/","Alberto Jose Pianeta DiazArquitectura y Urbanismo","https://losestudiantes.co/universidad-nacional/arquitectura-y-urbanismo/profesores/alberto-jose-pianeta-diaz","Pros: -Sabe muchas cosas
-De verdad aprender
-Muy responsable con las notas
-literalmente ilumina tu mente de conocimiento no solo de la materiaCons: -Por lo mismo que sabe muchas cosas aveces se desvia del tema.","5"
