comentario,nota
"Es un muy buen profesor, se esmera por enseñar el tema que le corresponde en mi caso Calculo Diferencial, los pariciales no son dificiles, pero si son de dedicación.",4.5
Es bastante bueno Pros: Sabe bastante y se nota que le interesa que aprendamosCons: Va demasiado rápido y sus dibujos no se entienden aveces,4.0
"Es un excelente profesor,  sin embargo las clases de los lunes con festivos , generó  que explicará muy rápido... pero en general bien,  hay que aprovechar el primer parcial y los quices.",4.5
"En general explicaba bien pero solía divagar, lo cual complicaba en buen medida apropiarse de los temas. Algunos de estos fueron muy densos y era muy necesario trabajar para aprenderlos. Para los parciales había que estudiar bastante y no se dejaban muy altos. 

Con las otras notas aparte de parciales daba ayudas, en especial para el segundo parcial. Si uno no tenía buenas bases de cálculo diferencial e integral, era una materia bastante pesada con él.

NO SE DUERMA DURANTE LA CLASE NI LLEGUE TARDE.Pros: Domina el tema.Cons: Explica regular y divaga.",3.5
"Explica bien,es amable, los parciales son fáciles (no pide ninguna demostración) y generalmente los puntos salen de los ejemplos que pone en clase o del taller que manda ,recomiendo hacer los talleres, con eso se dejan seguramente en 5 todos los parciales (los talleres son relativamente fáciles).Pros: Parciales  fáciles, se pueden dejar en 5 si se hacen los talleres.Cons: A veces se enreda o se equivoca en los ejemplos, pero nada importante, el concepto se entiende claramente y generalmente los estudiantes lo corrigen.",5.0
"Buen profesor, enfatiza en que la gran ayoria de estudiantes puedan aprender",4.6
"Pros: Explica bien, parciales de ejercicios parecidos a los del libro y a los que se hacen en clase",5.0
"Uno de los mejores profesores de la Universidad, repasa la temática de cursos anteriores, y deja supremamente preparado para el siguiente, tanto así q lo deja con la intriga de lo que va a ver el próximo semestre. Pros: -Clase interesante.
-Explica teoría Básica y refuerza con ejercicios. Cons: -Nada...",5.0
"Es un muy buen profesor, explica bien aunque a veces se pierde un poco del tema, uno pasa los parciales si realiza los talleres que el manda, es duro al calificar pero es justo, a veces se salta un tema y lo explica después como una ""Nota""Pros: -Resuelve bien las dudas
-Deja varios talleres
-PuntualCons: -Califica duro
-Toma asistencia",4.6
"Un muy buen profesor, las clases a pesar del horario no son aburridas y tiene talento para explicar y enseñar. Deja talleres opcionales con muchos ejercicios y los parciales son pesados, por lo que hay que trabajar mucho. Por lo general quita el peor parcial y al final ayuda un poco.Pros: Se aprende mucho
Resuelve cualquier dudaCons: La materia es muy pesada",4.6
